query_date,status,pit_candidate_pool_size,n_matches,actual_recession,fwd_credit_spread_change,excluded_2020_flag,neighbor_recession_share_pit_observable_raw,neighbor_recession_share_pit_observable_shrunk,evaluable_neighbor_count_pit_observable,kernel_weight_sum_pit_observable,neighbor_recession_share_in_sample_raw,neighbor_recession_share_in_sample_shrunk,evaluable_neighbor_count_in_sample,kernel_weight_sum_in_sample,dropped_neighbor_count_in_sample,dropped_unresolved_count,unresolved_kernel_weight_in_sample,contamination_weight_fraction
1995Q4,ok,80,9,False,-0.2166666666666659,False,0.22543166321413843,0.24098240535832502,9,6.124119429402594,0.22543166321413843,0.24098240535832502,9,6.124119429402594,0,0,0.0,0.0
1996Q1,ok,81,16,False,-0.13333333333333286,False,0.16948175702354631,0.1912411153207298,16,11.2346360991386,0.16948175702354631,0.1912411153207298,16,11.2346360991386,0,0,0.0,0.0
1996Q2,ok,82,9,False,0.07999999999999918,False,0.32673685189802215,0.3085429126134853,9,5.90564352107945,0.32673685189802215,0.3085429126134853,9,5.90564352107945,0,0,0.0,0.0
1996Q3,ok,83,4,False,0.41000000000000014,False,0.24500141158502156,0.259827181069161,4,2.610338371693736,0.24500141158502156,0.259827181069161,4,2.610338371693736,0,0,0.0,0.0
1996Q4,ok,84,5,False,1.006666666666666,False,0.17826873892677547,0.22245528163178738,5,3.4131652773401866,0.17826873892677547,0.22245528163178738,5,3.4131652773401866,0,0,0.0,0.0
1997Q1,ok,85,15,False,0.9133333333333331,False,0.0,0.06268874978314724,14,10.051493625444285,0.0,0.05883718980519028,15,10.905861596905208,0,1,0.8543679714609222,0.07834025435490297
1997Q2,ok,86,15,False,0.71,False,0.0,0.06738226763543424,13,9.142390674776902,0.0,0.059511123383695144,15,10.74838469955658,0,2,1.6059940247796776,0.14941724451358093
1997Q3,ok,87,13,False,0.7033333333333331,False,0.0,0.0767999825703265,11,7.653411508688834,0.0,0.06704842672115371,13,9.202848868990426,0,2,1.5494373603015927,0.1683649685395268
1997Q4,ok,88,10,False,0.5699999999999985,False,0.12814363821130537,0.17511108628022748,9,6.235138832993367,0.11369104723946188,0.16126983697466438,10,7.027759829931746,0,1,0.7926209969383794,0.11278430340811424
1998Q1,ok,89,11,False,0.18333333333333357,False,0.2049570378041999,0.22529044525390368,10,6.9988506733130205,0.18585548351782805,0.2101707756833469,11,7.718167228025677,0,1,0.7193165547126562,0.09319784522168988
1998Q2,ok,90,12,False,0.7600000000000007,False,0.18986375178955528,0.2143849248837694,10,7.137792423634426,0.15557056337804667,0.18558198740242646,12,8.7112112961438,0,2,1.5734188725093743,0.1806199871659503
1998Q3,ok,91,12,False,0.5033333333333339,False,0.22239459030039382,0.23861895731034566,9,6.3068683165276225,0.16281704265902724,0.19120622514926466,12,8.614659573875564,0,3,2.3077912573479407,0.2678911728963088
1998Q4,unprecedented_state,92,0,False,0.06666666666666732,False,,,0,0.0,,,0,0.0,0,0,0.0,
1999Q1,ok,93,1,True,0.41000000000000014,False,0.0,0.2266744497489159,1,0.6095017285278803,0.0,0.2266744497489159,1,0.6095017285278803,0,0,0.0,0.0
1999Q2,ok,94,10,True,0.5666666666666682,False,0.3103559940217813,0.29809501135650035,9,6.206942621587935,0.2799892797793456,0.2777842452881345,10,6.880127155858306,0,1,0.6731845342703707,0.09784478092053372
1999Q3,ok,95,6,True,0.7533333333333321,False,0.33090357879738,0.3062692920123228,6,4.084796882213307,0.33090357879738,0.3062692920123228,6,4.084796882213307,0,0,0.0,0.0
1999Q4,ok,96,8,True,1.0533333333333328,False,0.12291948625997398,0.1771820675791456,8,5.282380758084382,0.12291948625997398,0.1771820675791456,8,5.282380758084382,0,0,0.0,0.0
2000Q1,ok,97,11,True,1.0299999999999985,False,0.5276107114787587,0.4530496501771549,11,7.255357191891394,0.5276107114787587,0.4530496501771549,11,7.255357191891394,0,0,0.0,0.0
2000Q2,ok,98,9,True,0.5066666666666659,False,0.12005082373747908,0.1735101349354724,8,5.567812354951814,0.10702455322164148,0.1607922083605508,9,6.245487035516229,0,1,0.6776746805644144,0.10850629850173091
2000Q3,ok,99,5,True,0.9400000000000004,False,0.2032046629806853,0.23572124349815315,5,3.414199338325868,0.2032046629806853,0.23572124349815315,5,3.414199338325868,0,0,0.0,0.0
2000Q4,ok,100,6,True,0.9466666666666672,False,0.168752302254109,0.21257589635280144,6,4.117739150217213,0.168752302254109,0.21257589635280144,6,4.117739150217213,0,0,0.0,0.0
2001Q1,ok,101,7,True,0.3700000000000001,False,0.1409484902651282,0.1920311807602736,7,4.7391449736580356,0.1409484902651282,0.1920311807602736,7,4.7391449736580356,0,0,0.0,0.0
2001Q2,ok,102,4,True,0.08666666666666645,False,0.2481647869649582,0.26127740728501453,4,2.6195829276193763,0.2481647869649582,0.26127740728501453,4,2.6195829276193763,0,0,0.0,0.0
2001Q3,ok,103,1,True,-0.3966666666666647,False,0.0,0.2205950471694166,1,0.7089763740409633,0.0,0.2205950471694166,1,0.7089763740409633,0,0,0.0,0.0
2001Q4,ok,104,1,False,-0.7766666666666646,False,0.0,0.22492968755627574,1,0.637500354314568,0.0,0.22492968755627574,1,0.637500354314568,0,0,0.0,0.0
2002Q1,ok,105,1,False,-0.626666666666666,False,0.0,0.2234304523433868,1,0.6619082564643749,0.0,0.2234304523433868,1,0.6619082564643749,0,0,0.0,0.0
2002Q2,ok,106,4,False,-0.8599999999999994,False,0.0,0.14630386833798145,4,2.5923457628045,0.0,0.14630386833798145,4,2.5923457628045,0,0,0.0,0.0
2002Q3,ok,107,12,False,-1.2200000000000006,False,0.0,0.0728605858219869,12,8.229415862518609,0.0,0.0728605858219869,12,8.229415862518609,0,0,0.0,0.0
2002Q4,ok,108,5,False,-1.5799999999999992,False,0.3945237749118095,0.33536251397787153,5,3.1761615757585067,0.3945237749118095,0.33536251397787153,5,3.1761615757585067,0,0,0.0,0.0
2003Q1,ok,109,15,False,-1.5300000000000011,False,0.06354272609946521,0.11074198972996255,15,10.295835392608433,0.06354272609946521,0.11074198972996255,15,10.295835392608433,0,0,0.0,0.0
2003Q2,ok,110,8,False,-1.0400000000000005,False,0.0,0.09773065940550818,8,5.371802903600431,0.0,0.09773065940550818,8,5.371802903600431,0,0,0.0,0.0
2003Q3,ok,111,1,False,-0.8066666666666675,False,0.0,0.22439838385112662,1,0.6461127934175643,0.0,0.22439838385112662,1,0.6461127934175643,0,0,0.0,0.0
2003Q4,ok,112,4,False,-0.5300000000000011,False,0.0,0.14396012618900939,4,2.6833919213685853,0.0,0.14396012618900939,4,2.6833919213685853,0,0,0.0,0.0
2004Q1,ok,113,4,False,-0.5166666666666657,False,0.0,0.13883279240225663,4,2.8932893592689783,0.0,0.13883279240225663,4,2.8932893592689783,0,0,0.0,0.0
2004Q2,ok,114,14,False,-0.3966666666666665,False,0.14215914998597198,0.17522459281333813,13,8.84633668053324,0.13286288642475075,0.16652376909800412,14,9.46530469746032,0,1,0.6189680169270814,0.06539335359094774
2004Q3,ok,115,21,False,-0.4499999999999993,False,0.14967575904064206,0.1721097023528835,19,13.455178473169124,0.13671571801662544,0.1597286485343384,21,14.73066945202301,0,2,1.2754909788538873,0.08658744146069479
2004Q4,ok,116,19,False,-0.3633333333333342,False,0.2051429672115727,0.2181163519496567,18,12.628374602343333,0.19559494930951568,0.20983929303304275,19,13.244831965903645,0,1,0.616457363560311,0.046543237781141035
2005Q1,ok,117,14,False,-0.0533333333333319,False,0.15422903153485357,0.18295013644467345,14,9.377473801702937,0.15422903153485357,0.18295013644467345,14,9.377473801702937,0,0,0.0,0.0
2005Q2,ok,118,16,False,-0.16666666666666696,False,0.37512301147156824,0.3530650406442432,16,10.926358804153825,0.37512301147156824,0.3530650406442432,16,10.926358804153825,0,0,0.0,0.0
2005Q3,ok,119,20,False,0.13333333333333375,False,0.3617995518807063,0.3452941387344034,19,13.189648516623532,0.3430952552226872,0.3306103244217137,20,13.908699843957699,0,1,0.7190513273341673,0.051697954187036536
2005Q4,ok,120,16,True,0.4033333333333333,False,0.4190124893798756,0.3851319123091264,14,9.953015795492309,0.3632511775613212,0.3444973459046045,16,11.480865535810782,0,2,1.5278497403184728,0.13307792304969066
2006Q1,ok,121,21,True,1.3499999999999992,False,0.44180921693172504,0.4088775863067487,18,12.402997755861104,0.37216756672799256,0.3553360087311997,21,14.723901855015615,0,3,2.320904099154509,0.15762833262596804
2006Q2,ok,122,19,True,1.4366666666666656,False,0.5312842393454307,0.4743219198596696,15,10.617263251514334,0.4181015001568794,0.3916560772981558,19,13.491424040321453,0,4,2.874160788807116,0.21303613170983207
2006Q3,ok,123,21,True,1.6466666666666665,False,0.5230014565480801,0.4727767659099636,17,11.949271800842283,0.4148884723838316,0.391277644968708,21,15.06305181395288,0,4,3.113780013110598,0.20671641122725934
2006Q4,ok,124,27,True,3.9366666666666674,False,0.2107240732494208,0.22019045307009588,23,16.649496635165775,0.22083881204744632,0.22762074504800084,27,19.952951913083098,0,4,3.3034552779173225,0.1655622332127837
2007Q1,ok,125,30,True,3.8599999999999994,False,0.13653147390861115,0.1552713027432317,26,18.803155197508914,0.18905758644862336,0.19917683839729328,30,21.805100229660855,0,4,3.00194503215194,0.13767169150951572
